Size,Difficulty,FunctionCalls,Time,Memory
5,Super easy,26,0.0011065006256103516,0
5,Super easy,26,0.0012235641479492188,0
5,Super easy,49,0.002199411392211914,0
5,Hard,89,0.004668235778808594,0
5,Pretty easy,72,0.0031702518463134766,0
5,Super easy,45,0.0023572444915771484,0
5,Pretty easy,26,0.0013151168823242188,0
5,Hard,59,0.002616405487060547,0
5,Pretty easy,80,0.0036835670471191406,0
5,Super easy,27,0.0011229515075683594,0
5,Super easy,27,0.000990152359008789,0
5,Easy,53,0.0010554790496826172,0
5,Super easy,46,0.0009207725524902344,0
5,Super easy,37,0.0006797313690185547,0
5,Super easy,29,0.0005710124969482422,0
5,Super easy,49,0.0012116432189941406,0
5,Super easy,27,0.0005581378936767578,0
5,Pretty easy,26,0.0006499290466308594,0
5,Hard,39,0.0008494853973388672,0
5,Easy,82,0.0016841888427734375,0
5,Super easy,40,0.0012156963348388672,0
5,Super easy,26,0.001112222671508789,0
5,Super easy,30,0.0009098052978515625,0
5,Pretty easy,26,0.0005519390106201172,0
5,Super easy,52,0.0008809566497802734,0
5,Pretty easy,28,0.0007679462432861328,0
5,Easy,35,0.0010333061218261719,0
5,Pretty easy,26,0.00060272216796875,0
5,Hard,26,0.0005209445953369141,0
5,Super easy,26,0.0005290508270263672,0
5,Pretty easy,26,0.000682830810546875,0
5,Easy,26,0.0006363391876220703,0
5,Pretty easy,53,0.0011110305786132812,0
5,Super easy,34,0.0008623600006103516,0
5,Super easy,62,0.001245737075805664,0
5,Super easy,66,0.0017118453979492188,0
5,Pretty easy,26,0.0005207061767578125,0
5,Hard,28,0.0006661415100097656,0
5,Super easy,26,0.0005962848663330078,0
5,Super easy,26,0.0005092620849609375,0
5,Pretty easy,26,0.00048279762268066406,0
5,Super easy,27,0.0005526542663574219,0
5,Super easy,36,0.0009424686431884766,0
5,Super easy,26,0.0006721019744873047,0
5,Easy,26,0.0005054473876953125,0
5,Super easy,64,0.0014617443084716797,0
5,Super easy,26,0.0005064010620117188,0
5,Pretty easy,26,0.0005383491516113281,0
5,Pretty easy,49,0.0011119842529296875,0
5,Super easy,31,0.0006010532379150391,0
5,Easy,51,0.0010929107666015625,0
5,Super easy,64,0.0013492107391357422,0
5,Pretty easy,54,0.0014955997467041016,0
5,Hard,95,0.0017926692962646484,0
5,Pretty easy,27,0.0005943775177001953,0
5,Pretty easy,39,0.0008342266082763672,0
5,Super easy,26,0.0005109310150146484,0
5,Easy,53,0.0012502670288085938,0
5,Super easy,36,0.0007171630859375,0
5,Super easy,36,0.0007226467132568359,0
5,Super easy,26,0.0005326271057128906,0
5,Super easy,26,0.0005295276641845703,0
5,Super easy,26,0.0004718303680419922,0
5,Pretty easy,82,0.0017032623291015625,0
5,Super easy,26,0.0007405281066894531,0
5,Super easy,47,0.0009653568267822266,0
5,Pretty easy,26,0.0004878044128417969,0
5,Pretty easy,26,0.0005102157592773438,0
5,Super easy,26,0.0007333755493164062,0
5,Pretty easy,26,0.0005116462707519531,0
5,Super easy,44,0.0013391971588134766,0
5,Super easy,62,0.0013308525085449219,0
5,Pretty easy,27,0.0005767345428466797,0
5,Pretty easy,35,0.0010581016540527344,0
5,Super easy,32,0.0006966590881347656,0
5,Pretty easy,82,0.001844644546508789,0
5,Pretty easy,85,0.002151012420654297,0
5,Super easy,36,0.0008153915405273438,0
5,Pretty easy,45,0.0007600784301757812,0
5,Pretty easy,69,0.0016591548919677734,0
5,Medium,146,0.006290912628173828,0
5,Pretty easy,26,0.0011048316955566406,0
5,Super easy,26,0.0005004405975341797,0
5,Pretty easy,35,0.0014133453369140625,0
5,Super easy,42,0.001985788345336914,0
5,Pretty easy,62,0.002395153045654297,0
5,Pretty easy,70,0.0028717517852783203,0
5,Super easy,27,0.0011646747589111328,0
5,Pretty easy,55,0.0013911724090576172,0
5,Easy,39,0.0009708404541015625,0
5,Super easy,53,0.0017628669738769531,0
5,Super easy,26,0.0006151199340820312,0
5,Super easy,27,0.0005745887756347656,0
5,Super easy,27,0.0005702972412109375,0
5,Super easy,26,0.0006122589111328125,0
5,Hard,26,0.0005469322204589844,0
5,Medium,29,0.0012552738189697266,0
5,Super easy,26,0.0011742115020751953,0
5,Super easy,26,0.0011250972747802734,0
5,Medium,33,0.0012946128845214844,0
5,Super easy,43,0.002017974853515625,0
5,Super easy,89,0.003772258758544922,0
5,Easy,34,0.0015761852264404297,0
5,Pretty easy,35,0.0015406608581542969,0
5,Super easy,26,0.0010938644409179688,0
5,Pretty easy,28,0.0013015270233154297,0
5,Super easy,26,0.0011811256408691406,0
5,Super easy,65,0.001964092254638672,0
5,Pretty easy,26,0.0005440711975097656,0
5,Super easy,33,0.0007140636444091797,0
5,Pretty easy,26,0.00057220458984375,0
5,Super easy,54,0.001985311508178711,0
5,Super easy,26,0.0005285739898681641,0
5,Super easy,26,0.0010957717895507812,0
5,Pretty easy,26,0.0011310577392578125,0
5,Super easy,26,0.0010848045349121094,0
5,Super easy,38,0.0016965866088867188,0
5,Pretty easy,46,0.002293109893798828,0
5,Pretty easy,33,0.0014948844909667969,0
5,Super easy,26,0.001062154769897461,0
5,Super easy,49,0.0014142990112304688,0
5,Super easy,35,0.0013391971588134766,0
5,Pretty easy,29,0.001270294189453125,0
5,Pretty easy,84,0.0038852691650390625,0
5,Super easy,26,0.001085519790649414,0
5,Super easy,29,0.0012333393096923828,0
5,Super easy,50,0.0011749267578125,0
5,Super easy,31,0.0006575584411621094,0
5,Pretty easy,27,0.0005614757537841797,0
5,Pretty easy,29,0.0006124973297119141,0
5,Medium,27,0.0006649494171142578,0
5,Super easy,26,0.0005631446838378906,0
5,Pretty easy,51,0.001195669174194336,0
5,Super easy,26,0.0005414485931396484,0
5,Super easy,26,0.0005776882171630859,0
5,Pretty easy,93,0.0038118362426757812,0
5,Super easy,26,0.00115966796875,0
5,Pretty easy,26,0.0011947154998779297,0
5,Super easy,40,0.0016274452209472656,0
5,Hard,35,0.00153350830078125,0
5,Pretty easy,26,0.0011377334594726562,0
5,Hard,52,0.0021889209747314453,0
5,Super easy,26,0.0011556148529052734,0
5,Pretty easy,26,0.0011396408081054688,0
5,Super easy,31,0.0013425350189208984,0
5,Super easy,33,0.00140380859375,0
5,Pretty easy,43,0.0018889904022216797,0
5,Pretty easy,46,0.00194549560546875,0
5,Pretty easy,62,0.002494335174560547,0
5,Hard,26,0.0010309219360351562,0
5,Super easy,26,0.0010755062103271484,0
5,Super easy,46,0.0018322467803955078,0
5,Super easy,26,0.001024007797241211,0
5,Super easy,26,0.001031637191772461,0
5,Super easy,148,0.006264209747314453,0
5,Pretty easy,26,0.001127004623413086,0
5,Pretty easy,36,0.0015828609466552734,0
5,Super easy,26,0.0011792182922363281,0
5,Pretty easy,26,0.0011203289031982422,0
5,Super easy,34,0.001434326171875,0
5,Pretty easy,26,0.0005412101745605469,0
5,Pretty easy,124,0.0022242069244384766,0
5,Pretty easy,65,0.0015263557434082031,0
5,Pretty easy,26,0.0005347728729248047,0
5,Pretty easy,111,0.0023822784423828125,0
5,Pretty easy,68,0.0013623237609863281,0
5,Pretty easy,54,0.001024484634399414,0
5,Super easy,51,0.0010101795196533203,0
5,Pretty easy,65,0.001168966293334961,0
5,Pretty easy,33,0.0008676052093505859,0
5,Easy,45,0.001791238784790039,0
5,Hard,26,0.0010945796966552734,0
5,Pretty easy,26,0.0011219978332519531,0
5,Super easy,26,0.0011525154113769531,0
5,Super easy,27,0.00125885009765625,0
5,Super easy,26,0.0008673667907714844,0
5,Pretty easy,49,0.000946044921875,0
5,Super easy,26,0.000499725341796875,0
5,Super easy,26,0.0004799365997314453,0
5,Hard,26,0.0005428791046142578,0
5,Hard,35,0.000782012939453125,0
5,Super easy,33,0.0006020069122314453,0
5,Pretty easy,26,0.0007147789001464844,0
5,Super easy,67,0.0012564659118652344,0
5,Super easy,36,0.0006918907165527344,0
5,Pretty easy,29,0.0006005764007568359,0
5,Super easy,26,0.00047397613525390625,0
5,Super easy,36,0.0008106231689453125,0
5,Super easy,39,0.0011589527130126953,0
5,Super easy,50,0.001688241958618164,0
5,Pretty easy,26,0.0008726119995117188,0
5,Super easy,46,0.0009262561798095703,0
5,Pretty easy,26,0.0005290508270263672,0
5,Super easy,26,0.0005245208740234375,0
5,Super easy,84,0.001817464828491211,0
5,Medium,60,0.0014867782592773438,0
5,Super easy,26,0.0005276203155517578,0
5,Pretty easy,69,0.0014927387237548828,0
5,Pretty easy,26,0.0005033016204833984,0
5,Super easy,94,0.0018625259399414062,0
5,Pretty easy,26,0.0005381107330322266,0
5,Pretty easy,42,0.0007865428924560547,0
5,Pretty easy,27,0.0009138584136962891,0
5,Super easy,26,0.0005660057067871094,0
5,Super easy,66,0.0015010833740234375,0
5,Pretty easy,51,0.0010693073272705078,0
5,Hard,42,0.0007486343383789062,0
5,Super easy,26,0.0005354881286621094,0
5,Super easy,26,0.0005466938018798828,0
5,Easy,26,0.0007331371307373047,0
5,Pretty easy,40,0.0017693042755126953,0
5,Pretty easy,36,0.001466512680053711,0
5,Pretty easy,26,0.0009799003601074219,0
5,Easy,67,0.002976655960083008,0
5,Super easy,57,0.0018935203552246094,0
5,Pretty easy,55,0.0021467208862304688,0
